Category,Variable,Description,Code,Decode,Derived Variable,Original Variable(s),Original Dataset(s),Derivation Notes,
Clinical,HVLTREC,HVLT Delayed Recognition,-,-,No,HVLTREC,HVLT,,
Clinical,hy,Reclassified Hoehn & Yahr Stage (includes OFF and untreated scores),0,Stage 0,Yes,NHY,NUPDRS3,"NHY taken when participant is either ""OFF"" PD medication or untreated for PD",
,,,1,Stage 1,,,,,
,,,2,Stage 2,,,,,
,,,3,Stages 3-5,,,,,
,,,.,Unknown,,,,,
Clinical,hy_on,Reclassified Hoehn & Yahr Stage (includes ON and untreated scores),0,Stage 0,Yes,NHY,NUPDRS3,"NHY taken when participant is either ""ON"" PD medication or untreated for PD",
,,,1,Stage 1,,,,,
,,,2,Stage 2,,,,,
,,,3,Stages 3-5,,,,,
,,,.,Unknown,,,,,
Clinical,NHY,Hoehn & Yahr Stage (includes OFF and untreated scores),0,Stage 0,No,NHY,NUPDRS3,"NHY taken when participant is either ""OFF"" PD medication or untreated for PD",
,,,1,Stage 1,,,,,
,,,2,Stage 2,,,,,
,,,3,Stage 3,,,,,
,,,4,Stage 4,,,,,
,,,5,Stage 5,,,,,
,,,.,Unknown,,,,,
Clinical,NHY_ON,Hoehn & Yahr Stage (includes ON and untreated scores),0,Stage 0,No,NHY,NUPDRS3,"NHY taken when participant is either ""ON"" PD medication or untreated for PD",
,,,1,Stage 1,,,,,
,,,2,Stage 2,,,,,
,,,3,Stage 3,,,,,
,,,4,Stage 4,,,,,
,,,5,Stage 5,,,,,
,,,.,Unknown,,,,,
Clinical,LEDD,Total Levodopa Equivalent Daily Dose,-,-,Yes,LEDD,LEDDLOG,"Total LEDD is calculated by adding all LEDD values for each PD medication taken at a study visit.  
1. Calculate LD = sum(LEDD) across all levodopa medications.
2. Calculate LEDD value for COMT inhibitors as either LD * 0.5 or LD * 0.3 according to the formula specified for the medication.
3. Calculate sum(LEDD) across levodopa medication (i.e. step 1), COMT inhibitors (i.e. step 2) and any other PD medications.
Note that this value is calculated at the time of the study visit and will not capture possible changes in LEDD between study visits.",
Clinical,lexical,Lexical Fluency letter (FAS) Score,-,-,Yes,"LXFLUEF, LXFLUEA, LXFLUES",LEXICAL,"Sum (LXFLUEF, LXFLUEA, LXFLUES)",
Clinical,lns,Letter Number Sequencing Score,-,-,Yes,LNS1A - LNS7C,LNSPD,Sum (LNS1A - LNS7C),
Clinical,MCI_testscores,Indicator for mild-cognitive impairment (MCI) based on cognitive test scores (at least two cognitive test scores >1.5 SD below standardized mean),0,Normal Cognition,Yes,"DVT_TOTAL_RECALL, DVT_RECOG_DISC_INDEX, DVS_JLO_MSSAE, DVS_LNS, DVT_SFTANIM, DVT_SDM","Multiple, HVLT, LINEORNT, LNSPD, SFT, SDM","Participant has MCI if any 2 or more of the following cognitive tests are >1.5 SD below the standardized mean: 
* HVLT Total Recall (DVT_TOTAL_RECALL ≤ 35) 
* HVLT Recognition Discrimination (DVT_RECOG_DISC_INDEX ≤ 35) 
* Benton Judgment of Line Orientation (DVS_JLO_MSSAE ≤ 6) 
* Letter Number Sequencing (DVS_LNS ≤ 6) 
* Semantic Fluency Test (DVT_SFTANIM ≤ 35) 
* Symbol Digit Modalities (DVT_SDM ≤ 35)",
,,,1,Test-based MCI,,,,,
,,,.,Unknown,,,,,
Clinical,moca,Montreal Cognitive Assessment (MoCA) Score (adjusted for education),-,-,Yes,"MCAALTTM, MCACUBE, MCACLCKC, MCACLCKN, MCACLCKH, MCALION, MCARHINO, MCACAMEL, MCAFDS, MCABDS, MCAVIGIL, MCASER7, MCASNTNC, MCAVF, MCAABSTR, MCAREC1, MCAREC2, MCAREC3, MCAREC4, MCAREC5, MCADATE, MCAMONTH, MCAYR, MCADAY, MCAPLACE, MCACITY, EDUCYRS","MOCA, SOCIO","1. Calculate Unadjusted Score = Sum (MCAALTTM, MCACUBE, MCACLCKC, MCACLCKN, MCACLCKH, MCALION, MCARHINO, MCACAMEL, MCAFDS, MCABDS, MCAVIGIL, MCASER7, MCASNTNC, MCAVF, MCAABSTR, MCAREC1, MCAREC2, MCAREC3, MCAREC4, MCAREC5, MCADATE, MCAMONTH, MCAYR, MCADAY, MCAPLACE, MCACITY)
2. If EDUCYRS <= 12 and Unadjusted Score < 30, add 1 point to score to obtain Education-Adjusted MOCA score.  If EDUCYRS > 12 or Unadjusted Score = 30, do not add any points to score.",
Clinical,MODBNT,Modified Boston Naming Test Score,-,-,No,MBSTNCRR,MODBSTN,,
Clinical,MSEADLG,Modified Schwab & England Activities of Daily Living Score,-,-,No,MSEADLG,MODSEADL,,
Clinical,NP1ANXS,MDS-UPDRS Part I Anxious Mood,0,Normal,No,NP1ANXS,NUPDRS1,,
,,,1,Slight,,,,,
,,,2,Mild,,,,,
,,,3,Moderate,,,,,
,,,4,Severe,,,,,
,,,.,Unknown,,,,,
Clinical,NP1APAT ,MDS-UPDRS Part I Apathy,0,Normal,No,NP1APAT ,NUPDRS1,,
,,,1,Slight,,,,,
,,,2,Mild,,,,,
,,,3,Moderate,,,,,
,,,4,Severe,,,,,
,,,.,Unknown,,,,,
Clinical,NP1COG,MDS-UPDRS Part I Cognitive Impairment,0,Normal,No,NP1COG,NUPDRS1,,
,,,1,Slight,,,,,
,,,2,Mild,,,,,
,,,3,Moderate,,,,,
,,,4,Severe,,,,,
,,,.,Unknown,,,,,
Clinical,NP1DDS,MDS-UPDRS Part I Features of Dopamine Dysregulation Syndrome,0,Normal,No,NP1DDS,NUPDRS1,,
,,,1,Slight,,,,,
,,,2,Mild,,,,,
,,,3,Moderate,,,,,
,,,4,Severe,,,,,
,,,.,Unknown,,,,,
Clinical,NP1DPRS,MDS-UPDRS Part I Depressed Mood,0,Normal,No,NP1DPRS,NUPDRS1,,
,,,1,Slight,,,,,
,,,2,Mild,,,,,
,,,3,Moderate,,,,,
,,,4,Severe,,,,,
,,,.,Unknown,,,,,
Clinical,NP1FATG,MDS-UPDRS Part I Fatigue,0,Normal,No,NP1FATG,NUPDRS1P,,
,,,1,Slight,,,,,
,,,2,Mild,,,,,
,,,3,Moderate,,,,,
,,,4,Severe,,,,,
,,,.,Unknown,,,,,
Clinical,NP1HALL,MDS-UPDRS Part I Hallucinations and Psychosis,0,Normal,No,NP1HALL,NUPDRS1,,
,,,1,Slight,,,,,
,,,2,Mild,,,,,
,,,3,Moderate,,,,,
,,,4,Severe,,,,,
,,,.,Unknown,,,,,
Clinical,orthostasis,Indicator of whether systolic blood pressure change is greater than or equal to 20 OR diastolic blood pressure change is greater than or equal to 10.,0,No,Yes,"SYSSUP, SYSSTND, DIASUP, DIASTND",VITAL,"Set orthostasis = 1 if (SYSSTND - SYSUP) >= 20 or (DIASTND - DIASUP) >= 10. Otherwise set orthostasis = 0. If all four variables are missing, then set orthostasis to NULL.",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Clinical,OTHNEURO,"Comment for most likely Primary Diagnosis = ""Other"" (PRIMDIAG = 97)",-,-,No,OTHNEURO,PRIMDXPD,,
Clinical,PDTRTMNT,Is the participant on dopaminergic medication or receiving deep brain stimulation for treating the symptoms of Parkinsons disease?,0,No,No,PDTRTMNT,NUPDRS3,,
,,,1,Yes,,,,,
Clinical,pigd,PIGD OFF score (includes OFF and untreated scores),-,-,Yes,"NP2WALK, NP2FREZ, NP3GAIT, NP3FRZGT, NP3PSTBL","NUPDRS2, NUPDRS3","Mean of (NP2WALK, NP2FREZ, NP3GAIT, NP3FRZGT, NP3PSTBL) taken when participant is either ""OFF"" PD medication or untreated for PD",
Clinical,pigd_on,PIGD ON score (includes ON and untreated scores),-,-,Yes,"NP2WALK, NP2FREZ, NP3GAIT, NP3FRZGT, NP3PSTBL","NUPDRS2, NUPDRS3","Mean of (NP2WALK, NP2FREZ, NP3GAIT, NP3FRZGT, NP3PSTBL) taken when participant is either ""ON"" PD medication or untreated for PD",
Clinical,PRIMDIAG,Most likely Primary Diagnosis,1,Idiopathic PD,No,PRIMDIAG,PRIMDXPD,,
,,,2,Alzheimer's disease,,,,,
,,,3,Frontotemporal dementia,,,,,
,,,4,Corticobasal syndrome,,,,,
,,,5,Dementia with Lewy bodies,,,,,
,,,6,Dopa-responsive dystonia,,,,,
,,,7,Essential tremor,,,,,
,,,8,Hemiparkinson/hemiatrophy syndrome,,,,,
,,,9,Juvenile autosomal recessive parkinsonism,,,,,
,,,10,Motor neuron disease with parkinsonism,,,,,
,,,11,Multiple system atrophy,,,,,
,,,12,Neuroleptic-induced parkinsonism,,,,,
,,,13,Normal pressure hydrocephalus,,,,,
,,,14,Progressive supranuclear palsy,,,,,
,,,15,Psychogenic parkinsonism,,,,,
,,,16,Vascular parkinsonism,,,,,
,,,17,No PD nor other neurological disorder,,,,,
,,,18,Spinocerebellar Ataxia (SCA),,,,,
,,,23,Prodromal non-motor PD,,,,,
,,,24,Prodromal motor PD,,,,,
,,,25,Prodromal Synucleinopathy,,,,,
,,,97,Other neurological disorder(s),,,,,
Clinical,quip,Questionnaire for Impulsive-Compulsive Disorders in PD (QUIP) Score,-,-,Yes,"CNTRLGMB, TMGAMBLE, CNTRLSEX, TMSEX, CNTRLBUY, TMBUY, CNTRLEAT, TMEAT,  TMTORACT, TMTMTACT, TMTRWD",QUIPCS,"Sum the following (max score = 7): 
1 point if either CNTRLGMB or TMGAMBLE is ""Yes""
1 point if either CNTRLSEX or TMSEX is ""Yes""
1 point if either CNTRLBUY or TMBUY is ""Yes""
1 point if either CNTRLEAT or TMEAT  is ""Yes""
1 point for each of the following that are ""Yes"":  TMTORACT, TMTMTACT, TMTRWD",
Clinical,quip_any,Any QUIP disorder,0,No QUIP Disorders,Yes,"CNTRLGMB, TMGAMBLE, CNTRLSEX, TMSEX, CNTRLBUY, TMBUY, CNTRLEAT, TMEAT, TMTORACT, TMTMTACT, TMTRWD",QUIPCS,"Disorder present if any question has a ""yes"" response",
,,,1,Any 1 or more disorders,,,,,
,,,.,Unknown,,,,,
Clinical,quip_buy,QUIP disorder - Buying,0,No disorder,Yes,"CNTRLBUY, TMBUY",QUIPCS,"Disorder present if either question has a ""yes"" response",
,,,1,Disorder present,,,,,
,,,.,Unknown,,,,,
Clinical,quip_eat,QUIP disorder - Eating,0,No disorder,Yes,"CNTRLEAT, TMEAT",QUIPCS,"Disorder present if either question has a ""yes"" response",
,,,1,Disorder present,,,,,
,,,.,Unknown,,,,,
Clinical,quip_gamble,QUIP disorder - Gambling,0,No disorder,Yes,"CNTRLGMB, TMGAMBLE",QUIPCS,"Disorder present if either question has a ""yes"" response",
,,,1,Disorder present,,,,,
,,,.,Unknown,,,,,
Clinical,quip_hobby,QUIP disorder - Hobbies,0,No disorder,Yes,TMTORACT,QUIPCS,"Disorder present if TMTORACT has a ""yes"" response",
,,,1,Disorder present,,,,,
,,,.,Unknown,,,,,
Clinical,quip_pund,QUIP disorder - Punding,0,No disorder,Yes,TMTMTACT,QUIPCS,"Disorder present if TMTMTACT has a ""yes"" response",
,,,1,Disorder present,,,,,
,,,.,Unknown,,,,,
Clinical,quip_sex,QUIP disorder - Sex,0,No disorder,Yes,"CNTRLSEX, TMSEX",QUIPCS,"Disorder present if either question has a ""yes"" response",
,,,1,Disorder present,,,,,
,,,.,Unknown,,,,,
Clinical,quip_walk,QUIP disorder - Walking or Driving,0,No disorder,Yes,TMTRWD,QUIPCS,"Disorder present if TMTRWD has a ""yes"" response",
,,,1,Disorder present,,,,,
,,,.,Unknown,,,,,
Clinical,rem,REM Sleep Behavior Disorder Screening Questionnaire (RBDSQ) total score,-,-,Yes,"DRMVIVID, DRMAGRAC, DRMNOCTB,  SLPLMBMV, SLPINJUR, DRMVERBL,  DRMFIGHT, DRMUMV, DRMOBJFL,  MVAWAKEN, DRMREMEM, SLPDSTRB, STROKE, HETRA, PARKISM, RLS,  NARCLPSY, DEPRS, EPILEPSY, RNINFM, CNSOTH",REMSLEEP,"Add 1 point for each response of “Yes” to any of the following variables:  DRMVIVID, DRMAGRAC, DRMNOCTB, SLPLMBMV, SLPINJUR, DRMVERBL, DRMFIGHT, DRMUMV, DRMOBJFL, MVAWAKEN, DRMREMEM, SLPDSTRB.
Add 1 point if any of the following variables has a response of “Yes” (1):  STROKE, HETRA, PARKISM, RLS, NARCLPSY, DEPRS, EPILEPSY, RNINFM, CNSOTH.
Set to NULL if any variable is missing.",
Clinical,scopa,SCOPA-AUT Total Score,-,-,Yes,SCAU1 - SCAU25,SCOPAAUT,"For questions 1-21 (SCAU1 - SCAU21), add 3 points for each response of “9.” Otherwise add the number of points in response.
For questions 22-25 (SCAU22 - SCAU25), add 0 points for each response of “9.” Otherwise add the number of points in response.",
Clinical,scopa_cv,SCOPA-AUT Cardiovascular Sub-score,-,-,Yes,SCAU14 - SCAU16,SCOPAAUT,"Sum (SCAU14 - SCAU16), subject to calculation above.",
Clinical,scopa_gi,SCOPA-AUT Gastrointestinal (GI) Sub-score,-,-,Yes,SCAU1 - SCAU7,SCOPAAUT,"Sum (SCAU1 - SCAU7), subject to calculation above.",
Clinical,scopa_pm,SCOPA-AUT Pupillomotor Sub-score,-,-,Yes,SCAU19,SCOPAAUT,"Value of SCAU19, subject to calculation above.",
Clinical,scopa_sex,SCOPA-AUT Sexual Dysfunction Sub-score,-,-,Yes,SCAU22 - SCAU25,SCOPAAUT,"Sum (SCAU22 - SCAU25), subject to calculation above.",
Clinical,scopa_therm,SCOPA-AUT Thermoregulatory Sub-score,-,-,Yes,"SCAU17, SCAU18, SCAU20, SCAU21",SCOPAAUT,"Sum (SCAU17, SCAU18, SCAU20, SCAU21), subject to calculation above.",
Clinical,scopa_ur,SCOPA-AUT Urinary Sub-score,-,-,Yes,SCAU8 - SCAU13,SCOPAAUT,"Sum (SCAU8 - SCAU13), subject to calculation above.",
Clinical,SDMTOTAL,Symbol Digit Modalities Score,-,-,No,SDMTOTAL,SDM,,
Clinical,stai,State-Trait Anxiety Index (STAI) Total Score,-,-,Yes,STAIAD1 - STAIAD40,STAI,"Add values for the following questions: 
3, 4, 6, 7, 9, 12, 13, 14, 17, 18, 22, 24, 25, 28, 29, 31, 32, 35, 37, 38, 40
Use reverse scoring for the remaining questions and add to the first score (e.g., if response = 1, add 4 points to score; if response = 2, add 3 points to score, etc.).",
Clinical,stai_state,STAI State Sub-score,-,-,Yes,STAIAD1 - STAIAD20,STAI,"Add values for the following questions: 
3, 4, 6, 7, 9, 12, 13, 14, 17, 18
Use reverse scoring for the values of the remaining questions through question 20 and add to the first value.",
Clinical,stai_trait,STAI Trait Sub-score,-,-,Yes,STAIAD21 - STAIAD40,STAI,"Add values for the following questions: 
22, 24, 25, 28, 29, 31, 32, 35, 37, 38, 40
Use reverse scoring for the values of the remaining questions and add to the first value.",
Clinical,sym_tremor,Initial symptom (at diagnosis) - Resting Tremor,0,No symptom at diagnosis,Yes,DXTREMOR,PDDXHIST,"If DXTREMOR = 1 then sym_tremor = 1; 
If DXTREMOR = 0 then sym_tremor = 0;
if DXTREMOR = 2 or NULL then sym_tremor = NULL",
,,,1,Symptom present at diagnosis,,,,,
,,,.,Unknown,,,,,
Clinical,sym_rigid,Initial symptom (at diagnosis) - Rigidity,0,No symptom at diagnosis,Yes,DXRIGID,PDDXHIST,"If DXRIGID = 1 then sym_rigid = 1; 
If DXRIGID = 0 then sym_rigid  = 0;
if DXRIGID = 2 or NULL then sym_rigid  = NULL",
,,,1,Symptom present at diagnosis,,,,,
,,,.,Unknown,,,,,
Clinical,sym_brady,Initial symptom (at diagnosis) - Bradykinesia,0,No symptom at diagnosis,Yes,DXBRADY,PDDXHIST,"If DXBRADY = 1 then sym_brady = 1; 
If DXBRADY = 0 then sym_brady  = 0;
if DXBRADY = 2 or NULL then sym_brady  = NULL",
,,,1,Symptom present at diagnosis,,,,,
,,,.,Unknown,,,,,
Clinical,sym_posins,Initial symptom (at diagnosis) - Postural Instability ,0,No symptom at diagnosis,Yes,DXPOSINS,PDDXHIST,"If DXPOSINS = 1 then sym_posins = 1; 
If DXPOSINS = 0 then sym_posins  = 0;
if DXPOSINS = 2 or NULL then sym_posins  = NULL",
,,,1,Symptom present at diagnosis,,,,,
,,,.,Unknown,,,,,
Clinical,sym_other,Initial symptom (at diagnosis) - Other,0,No other symptoms at diagnosis,Yes,DXOTHSX,PDDXHIST,"If DXOTHSX = 1 then sym_other = 1; 
If DXOTHSX = 0 then sym_other  = 0;
if DXOTHSX = 2 or NULL then sym_other  = NULL",
,,,1,Other symptom present at diagnosis,,,,,
,,,.,Unknown,,,,,
Clinical,sym_unknown,Missing initial symptoms,0,Not missing Initial Symptom data,Yes,"DXTREMOR, DXRIGID, DXBRADY, DXPOSINS, DXOTHSX",PDDXHIST,"If COHORT = 1 and  the sum of (sym_tremor, sym_rigid, sym_brady, sym_posins, sym_other) is NOT NULL  then sym_unknown = 1;
otherwise, sym_unknown = 0",
,,,1,All initial symptom variables are missing or unknown,,,,,
,,,.,Unknown,,,,,
Clinical,td_pigd,TD/PIGD classification OFF - 2 categories (includes OFF and untreated scores),1,TD,Yes,"NP2TRMR, NP3PTRMR, NP3PTRML, NP3KTRMR, NP3KTRML, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON, NP2WALK, NP2FREZ, NP3GAIT, NP3FRZGT, NP3PSTBL
","NUPDRS2P, NUPDRS3","Note:  Score is based on values taken when participant is either ""OFF"" PD medication or untreated for PD.
1. Calculate Tremor score = Mean (NP2TRMR, NP3PTRMR, NP3PTRML, NP3KTRMR, NP3KTRML, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON)
2. Calculate PIGD score = Mean (NP2WALK, NP2FREZ, NP3GAIT, NP3FRZGT, NP3PSTBL)
3. Calculate ratio = Tremor score / PIGD score
4. If ratio ≥ 1.15, OR if PIGD score = 0 and Tremor score > 0, then participant is TD.  If ratio ≤ 0.9 then participant is PIGD.  If ratio > 0.9 and < 1.15, OR if Tremor score and PIGD score = 0, then participant is Indeterminate.",
,,,2,non-TD (PIGD or Indeterminate),,,,,
,,,.,Unknown,,,,,
Clinical,td_pigd_on,TD/PIGD classification ON - 2 categories (includes ON and untreated scores),1,TD,Yes,As above,"NUPDRS2P, NUPDRS3","As above but based on values taken when participant is either ""ON"" (i.e. fully medicated with dopaminergic treatment) or untreated for PD.",
,,,2,non-TD (PIGD or Indeterminate),,,,,
,,,.,Unknown,,,,,
Clinical,TMT_A,Time (in seconds) to complete Trails Making Test - A,-,-,Yes,"TMTASEC, TMTACMPL",TMT,"Field contains completion time (TMTASEC) if test was completed (TMTACMPL = 1). If test was not completed (TMTACMPL = 0), then a value of 150 seconds is imputed for completion time. ",
Clinical,TMT_B,Time (in seconds) to complete Trails Making Test - B,-,-,Yes,"TMTBSEC, TMTBCMPL",TMT,"Field contains completion time (TMTBSEC) if test was completed (TMTBCMPL = 1). If test was not completed (TMTBCMPL = 0), then a value of 300 seconds is imputed for completion time. ",
Clinical,updrs1_score,MDS-UPDRS Part I Score,-,-,Yes,"NP1COG, NP1HALL, NP1DPRS, NP1ANXS, NP1APAT,NP1DDS, NP1SLPN, NP1SLPD, NP1PAIN, NP1URIN, NP1CNST, NP1LTHD, NP1FATG","NUPDRS1, NUPDRS1P","Sum (NP1COG, NP1HALL, NP1DPRS, NP1ANXS, NP1APAT,NP1DDS, NP1SLPN, NP1SLPD, NP1PAIN, NP1URIN, NP1CNST, NP1LTHD, NP1FATG)",
Clinical,updrs2_score,MDS-UPDRS Part II Score,-,-,Yes,"NP2SPCH, NP2SALV, NP2SWAL, NP2EAT, NP2DRES, NP2HYGN, NP2HWRT, NP2HOBB, NP2TURN, NP2TRMR, NP2RISE, NP2WALK, NP2FREZ",NUPDRS2P,"Sum (NP2SPCH, NP2SALV, NP2SWAL, NP2EAT, NP2DRES, NP2HYGN, NP2HWRT, NP2HOBB, NP2TURN, NP2TRMR, NP2RISE, NP2WALK, NP2FREZ)",
Clinical,updrs3_score,MDS-UPDRS Part III Score OFF (includes OFF and untreated scores),-,-,Yes,"NP3SPCH, NP3FACXP, NP3RIGN, NP3RIGRU, NP3RIGLU, NP3RIGRL, NP3RIGLL, NP3FTAPR, NP3FTAPL, NP3HMOVR, NP3HMOVL, NP3PRSPR, NP3PRSPL, NP3TTAPR, NP3TTAPL, NP3LGAGR, NP3LGAGL, NP3RISNG, NP3GAIT, NP3FRZGT, NP3PSTBL, NP3POSTR, NP3BRADY, NP3PTRMR, NP3PTRML, NUPDRS3, NP3KTRMR, NP3KTRML, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON",NUPDRS3,"Note:  Score is based on values taken when participant is either ""OFF"" PD medication or untreated for PD.

Sum (NP3SPCH, NP3FACXP, NP3RIGN, NP3RIGRU, NP3RIGLU, NP3RIGRL, NP3RIGLL, NP3FTAPR, NP3FTAPL, NP3HMOVR, NP3HMOVL, NP3PRSPR, NP3PRSPL, NP3TTAPR, NP3TTAPL, NP3LGAGR, NP3LGAGL, NP3RISNG, NP3GAIT, NP3FRZGT, NP3PSTBL, NP3POSTR, NP3BRADY, NP3PTRMR, NP3PTRML, NUPDRS3, NP3KTRMR, NP3KTRML, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON)",
Clinical,updrs3_score_on,MDS-UPDRS Part III Score ON (includes ON and untreated scores),-,-,Yes,As above,NUPDRS3,"As above but based on values taken when participant is either ""ON"" (i.e. fully medicated with dopaminergic treatment) or untreated for PD.",
Clinical,updrs4_score,MDS-UPDRS Part IV Score,-,-,Yes,"NP4WDYSK, NP4DYSKI, NP4OFF, NP4FLCTI, NP4FLCTX, NP4DYSTN",NUPDRS4,"Sum (NP4WDYSK, NP4DYSKI, NP4OFF, NP4FLCTI, NP4FLCTX, NP4DYSTN)",
Clinical,updrs_totscore,MDS-UPDRS Total Score OFF (includes OFF and untreated scores),-,-,Yes,"MDS-UPDRS Parts I, II, III OFF","NUPDRS1, NUPDRS1P, NUPDRS2P, NUPDRS3","Sum (updrs1_score, updrs2_score, updrs3_score)",
Clinical,updrs_totscore_on,MDS-UPDRS Total Score ON (includes ON and untreated scores),-,-,Yes,"MDS-UPDRS Parts I, II, III ON","NUPDRS1, NUPDRS1P, NUPDRS2P, NUPDRS3","Sum (updrs1_score, updrs2_score, updrs3_score_on)",
Clinical,upsit,UPSIT Raw Score,-,-,Yes,SCENT_01_CORRECT - SCENT_40_CORRECT,UPSIT,"Sum (SCENT_01_CORRECT - SCENT_40_CORRECT).  
If 1-2 scent responses are missing, values of '1' are imputed for the missing responses. If >2 scent responses are missing, the total score is set to missing.",
Clinical,upsit_pctl,UPSIT Age-/Sex-Adjusted Percentile,-,-,Yes,"SCENT_01_CORRECT - SCENT_40_CORRECT, INFODT, BIRTHDT, SEX","UPSIT, SCREEN","Revised UPSIT percentile is reported at visits where the Revised UPSIT form was completed.  Original UPSIT percentile is reported at visits where the Original UPSIT form was completed (see publication by Brumm, et al [doi:10.1212/WNL.0000000000207077]). ",
Clinical,upsit_pctl15,Indicates whether UPSIT percentile is <= 15%,0,>15% (normosmia),Yes,As above,"UPSIT, SCREEN",Derived from UPSIT age-/sex-adjusted percentile,
,,,1,<=15% (hyposmia),,,,,
,,,.,Unknown,,,,,
Clinical,VLTANIM,Semantic Fluency (Animal) Score ,-,-,No,VLTANIM,SFT,,
Milestones,pm_adl_any,Progression Milestones - Indicator for any activities of daily living milestone,0,No,Yes,Multiple,Multiple,"See Table 1 in publication by Brumm, et al (doi:10.3233/JPD-223433)",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Milestones,pm_any,Progression Milestones - Indicator for any milestone (any domain),0,No,Yes,Multiple,Multiple,"See Table 1 in publication by Brumm, et al (doi:10.3233/JPD-223433)",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Milestones,pm_auto_any,Progression Milestones - Indicator for any autonomic dysfunction milestone,0,No,Yes,Multiple,Multiple,"See Table 1 in publication by Brumm, et al (doi:10.3233/JPD-223433)",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Milestones,pm_cog_any,Progression Milestones - Indicator for any cognition milestone,0,No,Yes,Multiple,Multiple,"See Table 1 in publication by Brumm, et al (doi:10.3233/JPD-223433)",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Milestones,pm_fd_any,Progression Milestones - Indicator for any functional dependence milestone,0,No,Yes,Multiple,Multiple,"See Table 1 in publication by Brumm, et al (doi:10.3233/JPD-223433)",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Milestones,pm_mc_any,Progression Milestones - Indicator for any motor complications milestone,0,No,Yes,Multiple,Multiple,"See Table 1 in publication by Brumm, et al (doi:10.3233/JPD-223433)",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
Milestones,pm_wb_any,Progression Milestones - Indicator for any walking and balance milestone,0,No,Yes,Multiple,Multiple,"See Table 1 in publication by Brumm, et al (doi:10.3233/JPD-223433)",
,,,1,Yes,,,,,
,,,.,Unknown,,,,,
NSD-ISS,NSD_Status,"Indicator for neuronal α-synuclein disease, as measured by any validated biomarker of n-αsyn pathology (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut)",0,Not NSD,Yes,"ENRLSNCA, SAA_Status, SAA_Type","STATUS, SAA_Biospecimen_ Analysis_Results","See publication by Simuni, et al (doi:10.1016/S1474-4422(23)00405-2)",
,,,1,NSD,,,,,
,,,.,Not evaluable,,,,,
NSD-ISS,NSD_STAGE,Neuronal α-synuclein disease stage (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut),0,Stage 0,Yes,Multiple,Multiple,"See Table 1 in publication by Simuni, et al (doi:10.1016/S1474-4422(23)00405-2)",
,,,1a,Stage 1A,,,,,
,,,1b,Stage 1B,,,,,
,,,2a,Stage 2A,,,,,
,,,2b,Stage 2B,,,,,
,,,3,Stage 3,,,,,
,,,4,Stage 4,,,,,
,,,5,Stage 5,,,,,
,,,6,Stage 6,,,,,
,,,Not NSD,Not NSD,,,,,
,,,,Not staged,,,,,
NSD-ISS,Stage_partial_UPDRS1,Modified MDS-UPDRS-I score excluding item 1.1 (Note: Results not shown for Prodromal cohort or Healthy Controls in Public Data Cut),-,-,Yes,"NP1HALL, NP1DPRS, NP1ANXS, NP1APAT,NP1DDS, NP1SLPN, NP1SLPD, NP1PAIN, NP1URIN, NP1CNST, NP1LTHD, NP1FATG","NUPDRS1, NUPDRS1P","Sum (NP1HALL, NP1DPRS, NP1ANXS, NP1APAT,NP1DDS, NP1SLPN, NP1SLPD, NP1PAIN, NP1URIN, NP1CNST, NP1LTHD, NP1FATG)",
